// Reference=MNI
// Subjects=0

// Indovina I, 2001: Move-Attend vs. No-Move
// Indovina I, 2001: Attend vs. No-Move
// Subjects=9
-44	-18	56
-54	-28	56
-26	-2	54
-42	-30	42
48	-22	48
62	-22	40
60	-16	14
36	-64	56
54	-26	44
-2	-4	54
-4	16	46
8	18	44
-4	14	38
-32	16	4
42	24	-2
56	20	-4
54	18	18
42	26	-20
-32	-66	-28
-14	-62	-26
36	-54	-34
10	-62	-18
-2	-88	-24
-2	8	56
-6	14	38
48	-20	46
54	-14	38
38	-26	46
42	-8	50
38	22	2
-40	-70	-30
-38	-62	-20
42	-70	-30

// Rao S M, 1997: Continuation-300 vs. Rest
// Subjects=13
-35.77	-19.72	59.33
17.16	-56.41	-20.72
0.47	1.56	56.02
-28.75	-10.13	3.8
-11.61	-19.46	5.5
65.42	-17	16.68
60.94	12.7	1.97

// van Mier H, 1998: Normal Subjects - Left Tracing
// Subjects=16
36.9	-18.14	59.48
-14.78	-62	-7.62
2.58	0.17	51.65
26.14	-3.58	56.15
-25.12	-3.54	61.2
-35.71	-39.9	59.91
17.84	-58.1	67.51
-18.51	-56.37	65.55
27.9	-60.14	-14.96
17.08	-72.67	-38.32
-32.12	-49.18	-33.03
-49.19	-5.11	-12
36.9	-18.14	59.48
-14.78	-62	-7.62
2.58	0.17	51.65
26.14	-3.58	56.15
-25.12	-3.54	61.2
41.22	-41.81	55.84
17.84	-58.1	67.51
-18.51	-56.37	65.55
27.9	-60.14	-14.96
17.08	-72.67	-38.32
-32.12	-49.18	-33.03
-49.19	-5.11	-12
36.9	-18.14	59.48
-14.78	-62	-7.62
2.58	0.17	51.65
26.14	-3.58	56.15
-25.12	-3.54	61.2
41.22	-41.81	55.84
17.84	-58.1	67.51
-18.51	-56.37	65.55
27.9	-60.14	-14.96
17.08	-72.67	-38.32
-32.12	-49.18	-33.03
-49.19	-5.11	-12
36.9	-18.14	59.48
-14.78	-62	-7.62
2.58	0.17	51.65
26.14	-3.58	56.15
-25.12	-3.54	61.2
41.22	-41.81	55.84
17.84	-58.1	67.51
-18.51	-56.37	65.55
27.9	-60.14	-14.96
17.08	-72.67	-38.32
-32.12	-49.18	-33.03
-49.19	-5.11	-12

// Gerardin E, 2000: Motor Execution vs. Rest
// Gerardin E, 2000: Motor Execution vs. Motor Imagination
// Subjects=8
57	18	24
39	-15	63
-42	-18	66
42	-3	60
-36	-3	66
6	6	57
-9	9	51
3	-3	66
-3	3	66
42	-33	60
-48	-24	57
36	-36	66
-30	-42	66
-45	-36	60
60	-9	15
-60	-15	21
24	18	6
-30	6	6
27	-9	12
-33	-3	6
15	-12	9
-18	-15	9
21	-45	-18
-27	-45	-18
39	-15	63
-42	-18	69
24	-9	75
-36	-6	69
3	0	57
-3	-3	57
48	-30	60
-51	-18	60
51	-9	15
-51	-15	15
3	6	42
-6	9	42
30	3	0
-30	-3	3
15	-12	9
-18	-15	9
21	-45	-18
-27	-45	-18

// Simon O, 2002: Grasping vs. Grasping Control
// Simon O, 2002: Pointing vs. Pointing Control
// Subjects=10
-16	-4	68
24	0	60
-48	48	16
-28	-12	64
-64	8	16
60	12	32
52	8	12
-8	4	44
4	4	52
-40	-28	56
-44	-36	52
40	-44	52
-12	-68	56
16	-68	52
64	-32	28
-36	16	8
-12	-8	60
4	4	56
24	0	56
-8	4	44
-32	-12	64
-40	-28	56
-36	-44	56
-16	-76	48
16	-68	52
36	-48	56
40	-40	60
-8	-60	56
28	-76	32
-24	12	4
24	4	4
-12	-20	8

// Gelnar P A, 1999: Motor vs. Rest
// Subjects=8
-2.77	-3.2	49.76
1.71	-3.24	76.48
-43.29	-9.11	59.64
-36.77	-23.36	67.46
-47.6	-24.96	47.64
-52.04	-17.9	29.26
-47.58	-31.31	48.17
-36.74	-29.7	67.99

// Subjects=0

// Rubia K, 2001: Generic Stop Activation
// Subjects=15
53.46	5	-.64
43.83	20.17	3.77
-41.68	12.89	-.21
53.91	-39.76	39.91
4.71	8.9	54.24
7.7	30.81	34.52

// Corfield D R, 1999: Tongue Contraction - Rest
// Subjects=8
-62	-6	22
64	-4	18
-2	14	54
2	6	52
-8	16	34
10	10	32
-62	6	4
64	12	0
-46	6	0
44	6	2
22	2	0
-14	-14	2
16	-14	4
-14	-56	-18
24	-60	-20
-14	-64	-48
14	-66	-48

// Paus T, 1993: Group 1 Normals
// Subjects=8
-36.88	-24.47	53.05
-2.81	10.63	49.72
47.54	-33.91	47.3
2.39	-29.26	15.09
-12.75	-21.29	-4.37
-53.1	-7.96	34.01
67.53	-.78	19.76
-2.72	3.91	59.2
63.18	-24.64	0.62
-58.62	-18.6	7.09
4.68	-78.23	14.71

// Binkofski F, 2000: Somatosensory Guided Movement vs. Rest
// Subjects=6
-44	-32	46
39	-9	49
59	2	27
-38	-10	50
4	0	50
-5	-4	50
38	-38	44
-40	-40	40
-40	-56	52

// Braver T S, 2001: Conjunction Analysis
// Braver T S, 2001: Disjunction Analysis
// Subjects=14
38.46	47.35	11.59
38.42	17.25	-5.96
-33.15	17.08	-1.77
3.6	8.47	48.71
61.31	-47.17	25.95
42.25	-38.89	52.24
13.48	-67.87	51.65
-6.78	-67.48	58.54
-26.72	-65.01	-31.76
35.37	45.18	25.19
48.28	13.28	24.37
54.56	8.6	4.62
13.03	23.1	30.65
16.49	12.49	58.26
57.95	-55.34	3.25
29.38	-69.06	34.84
54.95	-40.1	35.47
-58.33	-47.38	34.03
16.72	-70.76	55.2
35.99	-53.76	66.94
3.7	2.89	59.21
-.66	-1.33	46.24
-35.78	-26.41	55.43
-49.07	-4.96	3.6
-55.25	-25.67	25.48
-36.16	-76.47	-13.97
35.13	-57.21	-46.51
22.97	-6.51	59.78

// Garavan H, 2002: Successful NoGos
// Subjects=14
48.41	-18.36	28.14
40.98	9.58	45.96
54.68	-4.46	14.64
7.95	1.6	55.93
3.61	-14.51	40.6
11.07	-25.64	33.64
-5.04	-25.54	22.67
53.64	45.26	38.36
36.44	63.94	33.64
61.8	47.89	-11.02
8.54	16.45	0.03
-10.67	15.44	2.57
25.72	-5.74	0.58
-15.97	0.52	2.76
51.32	-11.56	-8.15
-28.75	-13.39	2.96

// Menon V, 2001: Go - Rest
// Subjects=14
38	-26	56
-8	2	56
44	-68	-20
-46	-68	-16
-34	-66	56
-42	-4	46
50	2	38

// Casey B J, 1998: Pooled Subjects
// Subjects=8
-.87	37.19	35.2
4.5	36.34	37.44
2.47	8.92	40.88
-52.08	-3.98	30.32
48.52	-5.18	47.11
-3.72	-6.41	63.42
4.74	1.5	54.86
-16.35	-38.5	76.3
28.52	-31.8	76.34
5.58	-59.08	0.82
31.29	-86.76	-1.61

// Casey B J, 1998: Madison Site
// Subjects=5
-17.64	4.25	64.92
-.56	-1.36	59.62
-37.98	-8.36	55.06
47.42	-19.71	38.3
41.22	-38.47	57.79
22.56	-50.32	-11.26
-26.6	-51.75	-11.69

// Ehrsson H H, 2001: Precision Grip - Baseline
// Subjects=6
-36	-20	48
0	0	48
