Viewer,Image,Description,Mean,Sum,SD,Size (mm),Voxels
Colin27_T1_seg_MNI,L inferior frontal gyrus_C05_1k_ALE,cc1,9.696581439976072E-4,2.977820160216652,0.003180039573354542,3071.0,3071,
Colin27_T1_seg_MNI,L inferior frontal gyrus_C05_1k_ALE,cc2,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L inferior frontal gyrus_C05_1k_ALE,cc3,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L inferior frontal gyrus_C05_1k_ALE,cc4,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L inferior frontal gyrus_C05_1k_ALE,cc5,0.008390075506395908,25.765921880141832,0.008335429515839186,3071.0,3071,
Colin27_T1_seg_MNI,L inferior frontal gyrus_C05_1k_ALE,cc6,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L inferior frontal gyrus_C05_1k_ALE,cc7,2.1689750669018837E-6,0.006660922430455685,1.2019723239004247E-4,3071.0,3071,
Colin27_T1_seg_MNI,L inferior frontal gyrus_C05_1k_ALE,cc8,0.006945200895886651,21.328711951267906,0.007912003503250182,3071.0,3071,
Colin27_T1_seg_MNI,L inferior frontal gyrus_C05_1k_ALE,wm1,0.009372518420574544,28.783004069584422,0.011748201768213722,3071.0,3071,
Colin27_T1_seg_MNI,L inferior frontal gyrus_C05_1k_ALE,wm2,0.03278480883714573,100.68214793887455,0.017511255005505582,3071.0,3071,
Colin27_T1_seg_MNI,L inferior frontal gyrus_C05_1k_ALE,wm3,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L inferior frontal gyrus_C05_1k_ALE,wm4,0.006038014628443453,18.542742923949845,0.00804246028416663,3071.0,3071,
Colin27_T1_seg_MNI,L inferior frontal gyrus_C05_1k_ALE,wm5,0.009775733355548292,30.021277134888805,0.007825449584986176,3071.0,3071,
Colin27_T1_seg_MNI,L inferior frontal gyrus_C05_1k_ALE,wm6,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L inferior frontal gyrus_C05_1k_ALE,wm7,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L inferior frontal gyrus_C05_1k_ALE,wm8,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L inferior frontal gyrus_C05_1k_ALE,cc9,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L inferior frontal gyrus_C05_1k_ALE,cc10,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L inferior frontal gyrus_C05_1k_ALE,at1,0.03994199752993215,122.66187441442162,0.012233679805733675,3071.0,3071,
Colin27_T1_seg_MNI,L inferior frontal gyrus_C05_1k_ALE,at2,0.01131897471693215,34.76057135569863,0.00873226164725913,3071.0,3071,
Colin27_T1_seg_MNI,L inferior frontal gyrus_C05_1k_ALE,at3,0.014974311980892255,45.986112093320116,0.012102441932693234,3071.0,3071,
Colin27_T1_seg_MNI,L inferior frontal gyrus_C05_1k_ALE,at4,0.0045125407507723165,13.858012645621784,0.006756324862085045,3071.0,3071,
Colin27_T1_seg_MNI,L inferior frontal gyrus_C05_1k_ALE,at5,0.014732680541488368,45.244061942910776,0.00947549970231634,3071.0,3071,
Colin27_T1_seg_MNI,L inferior frontal gyrus_C05_1k_ALE,at6,0.007083614196351453,21.75377919699531,0.007885950882348792,3071.0,3071,
Colin27_T1_seg_MNI,L inferior frontal gyrus_C05_1k_ALE,at7,0.0,0.0,0.0,3071.0,3071,
