Viewer,Image,Description,Mean,Sum,SD,Size (mm),Voxels
Colin27_T1_seg_MNI,R middle frontal gyrus 2_C05_1k_ALE,cc1,1.777895292293284E-4,0.5459916442632675,0.0011118992141552243,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus 2_C05_1k_ALE,cc2,3.1008303322147267E-4,0.9522649950231425,0.00142294759325288,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus 2_C05_1k_ALE,cc3,0.002075649273573615,6.374318919144571,0.004572274230925944,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus 2_C05_1k_ALE,cc4,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus 2_C05_1k_ALE,cc5,0.0010742794167005055,3.2991120886872523,0.0027481082601497524,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus 2_C05_1k_ALE,cc6,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus 2_C05_1k_ALE,cc7,0.0010540747548550857,3.2370635721599683,0.0027744317829621165,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus 2_C05_1k_ALE,cc8,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus 2_C05_1k_ALE,wm1,4.973603974001555E-4,1.5273937804158777,0.001940514474903011,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus 2_C05_1k_ALE,wm2,4.975925510835955E-4,1.5281067243777215,0.0018491659200336253,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus 2_C05_1k_ALE,wm3,3.3864682983138206E-4,1.0399844144121744,0.0014584563029635344,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus 2_C05_1k_ALE,wm4,0.0015139738624138823,4.649413731473032,0.0035988546216626197,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus 2_C05_1k_ALE,wm5,0.0012097819828076845,3.7152404692023993,0.0029083758285623268,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus 2_C05_1k_ALE,wm6,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus 2_C05_1k_ALE,wm7,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus 2_C05_1k_ALE,wm8,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus 2_C05_1k_ALE,cc9,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus 2_C05_1k_ALE,cc10,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus 2_C05_1k_ALE,at1,0.001397340632958422,4.291233083815314,0.003131500432740416,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus 2_C05_1k_ALE,at2,0.00243532968379417,7.478897458931897,0.0037803764791353583,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus 2_C05_1k_ALE,at3,8.574601769485538E-4,2.6332602034090087,0.002600342030475891,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus 2_C05_1k_ALE,at4,0.0028946581641016503,8.889495221956167,0.003865295507250865,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus 2_C05_1k_ALE,at5,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus 2_C05_1k_ALE,at6,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus 2_C05_1k_ALE,at7,0.007013378618338131,21.5380857369164,0.0059415594908641565,3071.0,3071,
