Viewer,Image,Description,Mean,Sum,SD,Size (mm),Voxels
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,cc1,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,cc2,1.0148763075259853E-4,0.3116685140412301,9.033698441636515E-4,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,cc3,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,cc4,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,cc5,7.539948393420617E-4,2.3155181516194716,0.00255347122019785,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,cc6,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,cc7,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,cc8,0.003040566480088068,9.337579660350457,0.005546827410480884,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,wm1,0.0029391260364343683,9.026056057889946,0.005589638741637747,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,wm2,0.012338671380693705,37.89205981011037,0.009758057322711528,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,wm3,2.674849281082665E-4,0.8214462142204866,0.0015577762246615082,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,wm4,0.004179694151820615,12.83584074024111,0.007211281573770708,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,wm5,4.4779462774852195E-4,1.375177301815711,0.0018379344218306508,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,wm6,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,wm7,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,wm8,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,cc9,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,cc10,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,at1,0.01598121438144962,49.07830936543178,0.00933437006472827,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,at2,0.008629502301245082,26.501201567123644,0.007850859087082987,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,at3,0.005222244714313978,16.037513517658226,0.006706644254653763,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,at4,0.006488918103820525,19.927467496832833,0.007623229378122066,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,at5,0.025335661468483647,77.80581636971328,0.00885111671172088,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,at6,0.0034068874187706245,10.462551263044588,0.005711555598355296,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,at7,0.0,0.0,0.0,3071.0,3071,
