Viewer,Image,Description,Mean,Sum,SD,Size (mm),Voxels
Colin27_T1_seg_MNI,superior frontal gyrus_C05_1k_ALE,cc1,0.006784366614073673,20.83478987182025,0.011004669822448342,3071.0,3071,
Colin27_T1_seg_MNI,superior frontal gyrus_C05_1k_ALE,cc2,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,superior frontal gyrus_C05_1k_ALE,cc3,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,superior frontal gyrus_C05_1k_ALE,cc4,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,superior frontal gyrus_C05_1k_ALE,cc5,0.0023660863169994496,7.2662510795053095,0.004896989283128045,3071.0,3071,
Colin27_T1_seg_MNI,superior frontal gyrus_C05_1k_ALE,cc6,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,superior frontal gyrus_C05_1k_ALE,cc7,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,superior frontal gyrus_C05_1k_ALE,cc8,0.009664383790271071,29.67932261992246,0.007869236548589715,3071.0,3071,
Colin27_T1_seg_MNI,superior frontal gyrus_C05_1k_ALE,wm1,0.030900542938703316,94.89556736475788,0.01470130257900194,3071.0,3071,
Colin27_T1_seg_MNI,superior frontal gyrus_C05_1k_ALE,wm2,0.011959859858807122,36.72872962639667,0.009350232538098352,3071.0,3071,
Colin27_T1_seg_MNI,superior frontal gyrus_C05_1k_ALE,wm3,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,superior frontal gyrus_C05_1k_ALE,wm4,0.0031099353235130643,9.55061137850862,0.006169371911144152,3071.0,3071,
Colin27_T1_seg_MNI,superior frontal gyrus_C05_1k_ALE,wm5,0.005303419780035272,16.28680214448832,0.0064789127746324076,3071.0,3071,
Colin27_T1_seg_MNI,superior frontal gyrus_C05_1k_ALE,wm6,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,superior frontal gyrus_C05_1k_ALE,wm7,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,superior frontal gyrus_C05_1k_ALE,wm8,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,superior frontal gyrus_C05_1k_ALE,cc9,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,superior frontal gyrus_C05_1k_ALE,cc10,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,superior frontal gyrus_C05_1k_ALE,at1,0.015147615855593672,46.51832829252817,0.00853859356755381,3071.0,3071,
Colin27_T1_seg_MNI,superior frontal gyrus_C05_1k_ALE,at2,0.00795464307773805,24.42870889173355,0.008601527488505437,3071.0,3071,
Colin27_T1_seg_MNI,superior frontal gyrus_C05_1k_ALE,at3,0.03578919564490245,109.9086198254954,0.010916053714967053,3071.0,3071,
Colin27_T1_seg_MNI,superior frontal gyrus_C05_1k_ALE,at4,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,superior frontal gyrus_C05_1k_ALE,at5,0.006270608349441839,19.257038241135888,0.00650495236552127,3071.0,3071,
Colin27_T1_seg_MNI,superior frontal gyrus_C05_1k_ALE,at6,0.008856545830189754,27.198452244512737,0.007885547985275134,3071.0,3071,
Colin27_T1_seg_MNI,superior frontal gyrus_C05_1k_ALE,at7,0.0,0.0,0.0,3071.0,3071,
