Viewer,Image,Description,Mean,Sum,SD,Size (mm),Voxels
Colin27_T1_seg_MNI,L insula_C05_1k_ALE,cc1,0.0254070172224343,78.02494989009574,0.009288859271483443,3071.0,3071,
Colin27_T1_seg_MNI,L insula_C05_1k_ALE,cc2,0.017138668315958817,52.63285039830953,0.010930095127138412,3071.0,3071,
Colin27_T1_seg_MNI,L insula_C05_1k_ALE,cc3,0.008741663676392116,26.845649150200188,0.011319860076310995,3071.0,3071,
Colin27_T1_seg_MNI,L insula_C05_1k_ALE,cc4,0.011529992752972637,35.40860774437897,0.011120035961639385,3071.0,3071,
Colin27_T1_seg_MNI,L insula_C05_1k_ALE,cc5,0.04583644766419051,140.76373077672906,0.015759173156045428,3071.0,3071,
Colin27_T1_seg_MNI,L insula_C05_1k_ALE,cc6,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L insula_C05_1k_ALE,cc7,0.008845344327225824,27.16405242891051,0.009869548451560031,3071.0,3071,
Colin27_T1_seg_MNI,L insula_C05_1k_ALE,cc8,0.034786032943569974,106.8279071697034,0.010481367297814145,3071.0,3071,
Colin27_T1_seg_MNI,L insula_C05_1k_ALE,wm1,0.024439136049452744,75.05258680786937,0.011875062333287846,3071.0,3071,
Colin27_T1_seg_MNI,L insula_C05_1k_ALE,wm2,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L insula_C05_1k_ALE,wm3,0.012323044014770752,37.84406816936098,0.012360565251707227,3071.0,3071,
Colin27_T1_seg_MNI,L insula_C05_1k_ALE,wm4,0.003200579270719269,9.828978940378875,0.0070476464511142764,3071.0,3071,
Colin27_T1_seg_MNI,L insula_C05_1k_ALE,wm5,0.041268228036398506,126.73472829977982,0.01945353909970111,3071.0,3071,
Colin27_T1_seg_MNI,L insula_C05_1k_ALE,wm6,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L insula_C05_1k_ALE,wm7,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L insula_C05_1k_ALE,wm8,0.0016864824114996334,5.179187485715374,0.005116066877283995,3071.0,3071,
Colin27_T1_seg_MNI,L insula_C05_1k_ALE,cc9,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L insula_C05_1k_ALE,cc10,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L insula_C05_1k_ALE,at1,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L insula_C05_1k_ALE,at2,0.004205968290478239,12.91652862005867,0.00752231616300764,3071.0,3071,
Colin27_T1_seg_MNI,L insula_C05_1k_ALE,at3,0.024134978564887954,74.1185191727709,0.012847321086186374,3071.0,3071,
Colin27_T1_seg_MNI,L insula_C05_1k_ALE,at4,0.0051580410240232,15.840343984775245,0.007508692569389946,3071.0,3071,
Colin27_T1_seg_MNI,L insula_C05_1k_ALE,at5,0.005881315696461703,18.06152050383389,0.00932466024730712,3071.0,3071,
Colin27_T1_seg_MNI,L insula_C05_1k_ALE,at6,0.03134153918948453,96.24986685090698,0.014754245239920489,3071.0,3071,
Colin27_T1_seg_MNI,L insula_C05_1k_ALE,at7,0.0,0.0,0.0,3071.0,3071,
