Viewer,Image,Description,Mean,Sum,SD,Size (mm),Voxels
Colin27_T1_seg_MNI,L superior frontal gyrus_C05_1k_ALE,cc1,0.11945665426138644,366.85138523671776,0.026877088210047508,3071.0,3071,
Colin27_T1_seg_MNI,L superior frontal gyrus_C05_1k_ALE,cc2,0.028084297420184676,86.24687737738714,0.013746949206356468,3071.0,3071,
Colin27_T1_seg_MNI,L superior frontal gyrus_C05_1k_ALE,cc3,0.021912644455999074,67.29373112437315,0.013360149965628346,3071.0,3071,
Colin27_T1_seg_MNI,L superior frontal gyrus_C05_1k_ALE,cc4,0.030412228681415184,93.39595428062603,0.01929422540784049,3071.0,3071,
Colin27_T1_seg_MNI,L superior frontal gyrus_C05_1k_ALE,cc5,0.01929480414914931,59.25434354203753,0.014010122695452189,3071.0,3071,
Colin27_T1_seg_MNI,L superior frontal gyrus_C05_1k_ALE,cc6,0.01768170690971561,54.30052191973664,0.014015037359602838,3071.0,3071,
Colin27_T1_seg_MNI,L superior frontal gyrus_C05_1k_ALE,cc7,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L superior frontal gyrus_C05_1k_ALE,cc8,0.013339789277073013,40.966492869891226,0.013664398146561877,3071.0,3071,
Colin27_T1_seg_MNI,L superior frontal gyrus_C05_1k_ALE,wm1,0.060298545085829575,185.17683195858262,0.03743183402414763,3071.0,3071,
Colin27_T1_seg_MNI,L superior frontal gyrus_C05_1k_ALE,wm2,0.012003680044034262,36.863301415229216,0.014659795023477588,3071.0,3071,
Colin27_T1_seg_MNI,L superior frontal gyrus_C05_1k_ALE,wm3,0.014072750028779592,43.217415338382125,0.01654735360075736,3071.0,3071,
Colin27_T1_seg_MNI,L superior frontal gyrus_C05_1k_ALE,wm4,0.009701330564325983,29.792786163045093,0.014400095947342637,3071.0,3071,
Colin27_T1_seg_MNI,L superior frontal gyrus_C05_1k_ALE,wm5,0.013395950508791285,41.138964012498036,0.015109220839153193,3071.0,3071,
Colin27_T1_seg_MNI,L superior frontal gyrus_C05_1k_ALE,wm6,3.458019769051513E-4,1.0619578710757196,0.0023031876050705453,3071.0,3071,
Colin27_T1_seg_MNI,L superior frontal gyrus_C05_1k_ALE,wm7,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L superior frontal gyrus_C05_1k_ALE,wm8,0.017829854349302173,54.75548270670697,0.015777055908095774,3071.0,3071,
Colin27_T1_seg_MNI,L superior frontal gyrus_C05_1k_ALE,cc9,0.03624414222656732,111.30576077778824,0.02305846532130321,3071.0,3071,
Colin27_T1_seg_MNI,L superior frontal gyrus_C05_1k_ALE,cc10,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L superior frontal gyrus_C05_1k_ALE,at1,0.014774906548490375,45.373738010413945,0.015244274512200841,3071.0,3071,
Colin27_T1_seg_MNI,L superior frontal gyrus_C05_1k_ALE,at2,2.86575613615568E-6,0.008800737094134092,1.1835491386208271E-4,3071.0,3071,
Colin27_T1_seg_MNI,L superior frontal gyrus_C05_1k_ALE,at3,0.04717079929668409,144.86152464011684,0.033779336034695635,3071.0,3071,
Colin27_T1_seg_MNI,L superior frontal gyrus_C05_1k_ALE,at4,9.469285977926094E-5,0.29080177238211036,0.0010812214275090078,3071.0,3071,
Colin27_T1_seg_MNI,L superior frontal gyrus_C05_1k_ALE,at5,0.010553846746280994,32.41086335782893,0.01684992655692358,3071.0,3071,
Colin27_T1_seg_MNI,L superior frontal gyrus_C05_1k_ALE,at6,0.014589831899370584,44.805373762967065,0.013546758487229459,3071.0,3071,
Colin27_T1_seg_MNI,L superior frontal gyrus_C05_1k_ALE,at7,0.022476390275882222,69.0249945372343,0.014385892904919362,3071.0,3071,
