Viewer,Image,Description,Mean,Sum,SD,Size (mm),Voxels
Colin27_T1_seg_MNI,R culmen_C05_1k_ALE,cc1,0.018411209420100865,56.54082412912976,0.010455754470545241,3071.0,3071,
Colin27_T1_seg_MNI,R culmen_C05_1k_ALE,cc2,0.00584491455461375,17.949732597218826,0.007955073120621417,3071.0,3071,
Colin27_T1_seg_MNI,R culmen_C05_1k_ALE,cc3,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R culmen_C05_1k_ALE,cc4,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R culmen_C05_1k_ALE,cc5,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R culmen_C05_1k_ALE,cc6,0.04116056007189808,126.404079980799,0.014864410507688367,3071.0,3071,
Colin27_T1_seg_MNI,R culmen_C05_1k_ALE,cc7,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R culmen_C05_1k_ALE,cc8,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R culmen_C05_1k_ALE,wm1,0.005577441193131552,17.128321904106997,0.007786344984249792,3071.0,3071,
Colin27_T1_seg_MNI,R culmen_C05_1k_ALE,wm2,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R culmen_C05_1k_ALE,wm3,0.0021153266938707727,6.4961682768771425,0.005459821053250581,3071.0,3071,
Colin27_T1_seg_MNI,R culmen_C05_1k_ALE,wm4,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R culmen_C05_1k_ALE,wm5,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R culmen_C05_1k_ALE,wm6,0.0010553484760059237,3.2409751698141918,0.004122515718408278,3071.0,3071,
Colin27_T1_seg_MNI,R culmen_C05_1k_ALE,wm7,0.0011344077342315096,3.483766151824966,0.00383769443495484,3071.0,3071,
Colin27_T1_seg_MNI,R culmen_C05_1k_ALE,wm8,0.001596632679111319,4.903258957550861,0.004651354147705175,3071.0,3071,
Colin27_T1_seg_MNI,R culmen_C05_1k_ALE,cc9,0.021689521105358336,66.60851931455545,0.014348715051831764,3071.0,3071,
Colin27_T1_seg_MNI,R culmen_C05_1k_ALE,cc10,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R culmen_C05_1k_ALE,at1,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R culmen_C05_1k_ALE,at2,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R culmen_C05_1k_ALE,at3,0.004642064189122889,14.25577912479639,0.007318782550168207,3071.0,3071,
Colin27_T1_seg_MNI,R culmen_C05_1k_ALE,at4,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R culmen_C05_1k_ALE,at5,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R culmen_C05_1k_ALE,at6,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R culmen_C05_1k_ALE,at7,0.0,0.0,0.0,3071.0,3071,
