Viewer,Image,Description,Mean,Sum,SD,Size (mm),Voxels
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,cc1,0.046117356149916446,141.6264007363934,0.015747046125524095,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,cc2,0.05188613645427623,159.3423250510823,0.015672675945803,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,cc3,0.01219867007034788,37.46211578603834,0.012383579658598605,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,cc4,0.011452863348838401,35.17174334428273,0.012194521983709477,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,cc5,0.009161107333389741,28.133760620839894,0.010557344045587672,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,cc6,0.03953361126912066,121.40772020746954,0.014182683563154358,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,cc7,0.0047962846102066236,14.72939003794454,0.008170757738463208,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,cc8,0.006358192151640422,19.526008097687736,0.00977678066340523,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,wm1,0.019955196651229492,61.28240891592577,0.017376396614043776,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,wm2,0.004563632440301115,14.014915224164724,0.009431834048659877,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,wm3,0.030866272487922973,94.79032281041145,0.025641624512715615,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,wm4,0.004383392994028544,13.46139988466166,0.008331114872906692,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,wm5,0.008974712685318267,27.561342656612396,0.010664752405452546,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,wm6,0.0014864508428337013,4.564890538342297,0.005299310387633034,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,wm7,0.0015424703281507436,4.736926377750933,0.005132740370694583,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,wm8,0.0037568282494148605,11.537219553953037,0.00792082714765308,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,cc9,0.03030656740087282,93.07146848808043,0.018726458264949866,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,cc10,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,at1,0.00408845280868146,12.555638575460762,0.009015836115463268,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,at2,0.007597800699426258,23.33284594793804,0.011147157785372805,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,at3,0.01770738582793976,54.37938187760301,0.016162785431793662,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,at4,0.011203905291177844,34.40719314920716,0.0136572970313225,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,at5,0.003780281164379228,11.60924345580861,0.008928986517505845,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,at6,0.0063775930353823975,19.585588211659342,0.00984611860591227,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,at7,0.021159980228811853,64.9822992826812,0.010849528188564233,3071.0,3071,
