Viewer,Image,Description,Mean,Sum,SD,Size (mm),Voxels
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,cc1,0.029368319160261596,90.19010814116336,0.006187555582927824,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,cc2,0.02562131200580746,78.6830491698347,0.010934755020782354,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,cc3,0.007339385244494971,22.539252085844055,0.008564670001935478,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,cc4,0.01588773302317214,48.79122811416164,0.011631482528450124,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,cc5,0.02946933354972854,90.50032333121635,0.011965737688709293,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,cc6,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,cc7,0.03129431960392514,96.10485550365411,0.011872649064421358,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,cc8,0.03979353901859796,122.20595832611434,0.011921939013196424,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,wm1,0.026777435207083818,82.2335035209544,0.012407767966297483,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,wm2,2.736035941089211E-4,0.8402366375084966,0.0018270896466982777,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,wm3,0.02145825338186602,65.89829613571055,0.013436834268041733,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,wm4,0.0016606490069212413,5.099853100255132,0.0048866947636623075,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,wm5,0.02436831158595551,74.83508488046937,0.015643916199737273,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,wm6,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,wm7,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,wm8,0.004715795252376331,14.482207220047712,0.007699764517339403,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,cc9,0.006853928345821747,21.048413950018585,0.009634764207811418,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,cc10,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,at1,0.0021215438085675814,6.515261036111042,0.005420902866589983,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,at2,0.003820763687378457,11.733565283939242,0.007358774301404065,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,at3,0.024409500392031342,74.96157570392825,0.014499421388611773,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,at4,0.0034015773580531195,10.44624406658113,0.006318016128410187,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,at5,0.008122605568759971,24.94452170166187,0.010702785848496146,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,at6,0.037252222447410756,114.40157513599843,0.015093960556681557,3071.0,3071,
Colin27_T1_seg_MNI,R middle frontal gyrus_C05_1k_ALE,at7,0.0016719396217768324,5.1345265784766525,0.004961642143035345,3071.0,3071,
