Viewer,Image,Description,Mean,Sum,SD,Size (mm),Voxels
Colin27_T1_seg_MNI,R thalamus_C05_1k_ALE,cc1,0.02248609500624196,69.05479776416905,0.01174923308460112,3071.0,3071,
Colin27_T1_seg_MNI,R thalamus_C05_1k_ALE,cc2,0.009353208528541681,28.723703391151503,0.009440644718583293,3071.0,3071,
Colin27_T1_seg_MNI,R thalamus_C05_1k_ALE,cc3,0.0014128026140666347,4.338716827798635,0.004605541277425859,3071.0,3071,
Colin27_T1_seg_MNI,R thalamus_C05_1k_ALE,cc4,0.040281783698872094,123.7053577392362,0.01606439119163289,3071.0,3071,
Colin27_T1_seg_MNI,R thalamus_C05_1k_ALE,cc5,0.01031340170842427,31.672456646570936,0.010590894486017624,3071.0,3071,
Colin27_T1_seg_MNI,R thalamus_C05_1k_ALE,cc6,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R thalamus_C05_1k_ALE,cc7,0.007353839258645464,22.58364036330022,0.009019747330541958,3071.0,3071,
Colin27_T1_seg_MNI,R thalamus_C05_1k_ALE,cc8,0.017844058631169352,54.799104056321084,0.011087417774237373,3071.0,3071,
Colin27_T1_seg_MNI,R thalamus_C05_1k_ALE,wm1,0.014779028493273567,45.38639650284313,0.013263906675859364,3071.0,3071,
Colin27_T1_seg_MNI,R thalamus_C05_1k_ALE,wm2,1.3700251424159261E-4,0.4207347212359309,0.0011831990264668294,3071.0,3071,
Colin27_T1_seg_MNI,R thalamus_C05_1k_ALE,wm3,0.00689417300794367,21.17200530739501,0.008692646966360216,3071.0,3071,
Colin27_T1_seg_MNI,R thalamus_C05_1k_ALE,wm4,2.685941545609949E-5,0.08248526486568153,3.8800861933615654E-4,3071.0,3071,
Colin27_T1_seg_MNI,R thalamus_C05_1k_ALE,wm5,0.008596909853218239,26.401110159233212,0.010723790296674553,3071.0,3071,
Colin27_T1_seg_MNI,R thalamus_C05_1k_ALE,wm6,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R thalamus_C05_1k_ALE,wm7,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R thalamus_C05_1k_ALE,wm8,0.0035697951843432574,10.962841011118144,0.007397341621374804,3071.0,3071,
Colin27_T1_seg_MNI,R thalamus_C05_1k_ALE,cc9,0.01104620508011097,33.922895801020786,0.01208607953792336,3071.0,3071,
Colin27_T1_seg_MNI,R thalamus_C05_1k_ALE,cc10,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R thalamus_C05_1k_ALE,at1,0.001768098247198989,5.429829717148095,0.0051461463397349996,3071.0,3071,
Colin27_T1_seg_MNI,R thalamus_C05_1k_ALE,at2,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R thalamus_C05_1k_ALE,at3,0.013899373795302813,42.68497692537494,0.013597985871552231,3071.0,3071,
Colin27_T1_seg_MNI,R thalamus_C05_1k_ALE,at4,9.938398088310042E-4,3.0520820529200137,0.0034648321693103875,3071.0,3071,
Colin27_T1_seg_MNI,R thalamus_C05_1k_ALE,at5,0.002218884972034211,6.8141957491170615,0.005603094106204032,3071.0,3071,
Colin27_T1_seg_MNI,R thalamus_C05_1k_ALE,at6,0.01811129335174231,55.61978188320063,0.010829911853578853,3071.0,3071,
Colin27_T1_seg_MNI,R thalamus_C05_1k_ALE,at7,0.005024190208332105,15.429288129787892,0.008479962016128105,3071.0,3071,
