Viewer,Image,Description,Mean,Sum,SD,Size (mm),Voxels
Colin27_T1_seg_MNI,L sub-lobar_C05_1k_ALE,cc1,0.0013898639026219562,4.2682720449520275,0.003930492465424426,3071.0,3071,
Colin27_T1_seg_MNI,L sub-lobar_C05_1k_ALE,cc2,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L sub-lobar_C05_1k_ALE,cc3,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L sub-lobar_C05_1k_ALE,cc4,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L sub-lobar_C05_1k_ALE,cc5,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L sub-lobar_C05_1k_ALE,cc6,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L sub-lobar_C05_1k_ALE,cc7,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L sub-lobar_C05_1k_ALE,cc8,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L sub-lobar_C05_1k_ALE,wm1,0.006011872704535691,18.462461075629108,0.0063366226988056055,3071.0,3071,
Colin27_T1_seg_MNI,L sub-lobar_C05_1k_ALE,wm2,0.002318426703889249,7.119888407643884,0.005099066563376387,3071.0,3071,
Colin27_T1_seg_MNI,L sub-lobar_C05_1k_ALE,wm3,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L sub-lobar_C05_1k_ALE,wm4,4.655012724956286E-4,1.4295544078340754,0.0020860632747177906,3071.0,3071,
Colin27_T1_seg_MNI,L sub-lobar_C05_1k_ALE,wm5,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L sub-lobar_C05_1k_ALE,wm6,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L sub-lobar_C05_1k_ALE,wm7,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L sub-lobar_C05_1k_ALE,wm8,0.019364568526462057,59.46858994476497,0.007196565161622587,3071.0,3071,
Colin27_T1_seg_MNI,L sub-lobar_C05_1k_ALE,cc9,0.0012391720055679822,3.8054972290992737,0.003748362222698708,3071.0,3071,
Colin27_T1_seg_MNI,L sub-lobar_C05_1k_ALE,cc10,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L sub-lobar_C05_1k_ALE,at1,0.0012315731802749052,3.7821612366242334,0.0031083232626521635,3071.0,3071,
Colin27_T1_seg_MNI,L sub-lobar_C05_1k_ALE,at2,0.0017229326479746504,5.291126161930151,0.004686772335645811,3071.0,3071,
Colin27_T1_seg_MNI,L sub-lobar_C05_1k_ALE,at3,0.006012362852881841,18.463966321200132,0.006406832580372545,3071.0,3071,
Colin27_T1_seg_MNI,L sub-lobar_C05_1k_ALE,at4,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L sub-lobar_C05_1k_ALE,at5,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L sub-lobar_C05_1k_ALE,at6,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,L sub-lobar_C05_1k_ALE,at7,0.0,0.0,0.0,3071.0,3071,
