Viewer,Image,Description,Mean,Sum,SD,Size (mm),Voxels
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,cc1,0.007048050970480802,21.644564530346543,0.010420372655269707,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,cc2,0.02347888011151445,72.10364082246087,0.020638179558132835,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,cc3,0.0032699844745045104,10.042122321203351,0.006991151857180498,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,cc4,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,cc5,0.005021763900740698,15.421836939174682,0.007637448394902838,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,cc6,3.9286566964944733E-4,1.2064904714934528,0.0022757852908926223,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,cc7,0.015925443803197672,48.90703791962005,0.013967306807016107,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,cc8,0.005265924592504841,16.171654423582368,0.008754169861419588,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,wm1,0.02148103427120828,65.96825624688063,0.010987185943801308,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,wm2,0.02151052937841389,66.05883572110906,0.009202196375947767,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,wm3,0.03575098236687803,109.79126684868243,0.012765432122353874,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,wm4,0.02855532012302283,87.69338809780311,0.01107736233574274,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,wm5,0.006568703437016295,20.17248825507704,0.007824938750363594,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,wm6,0.020195943440708842,62.021742306416854,0.010216961727590795,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,wm7,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,wm8,0.01372368626320933,42.14544051431585,0.009335146503904511,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,cc9,0.0017761348768551956,5.454510206822306,0.004777400215627086,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,cc10,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,at1,0.015811570937374078,48.557334348675795,0.01068584278976571,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,at2,0.013953324962197795,42.85066095890943,0.010567197867105117,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,at3,0.025100016889054097,77.08215186628513,0.009174071216576958,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,at4,0.01452716215357769,44.61291497363709,0.010681343596211043,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,at5,2.1694395822317904E-4,0.6662348957033828,0.0015557779122224807,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,at6,0.004978894973197999,15.290186462691054,0.008593527078617382,3071.0,3071,
Colin27_T1_seg_MNI,R inferior parietal lobule_C05_1k_ALE,at7,0.004572783895111356,14.043019341886975,0.007831852191209437,3071.0,3071,
