Behavioral Analysis Plugin v3.1

Category,Domain,Raw Counts,Fractional,Standardized,Z-score
Execution (Speech),Action,15,0.0055309734513274336,1.7354289419205131,2.107506168002478
Execution (Unspecified),Action,41,0.004457490758860622,1.204521380807608,2.907181055602334
Imagination,Action,4,0.0027991602519244225,0.3843682370867144,0.4236456257302505
Inhibition,Action,55,0.019083969465648856,8.438273906473832,6.360582203462521
Motor Learning,Action,0,0.0,-1.0,-1.0372294515087348
Observation,Action,11,0.007713884992987377,2.815021795015088,2.185513393179342
Preparation,Action,6,0.011152416356877323,4.5156009594709525,1.8541520184614515
Rest,Action,1,0.007042253521126761,2.4828560049241464,0.6302258728510883
Attention,Cognition,175,0.011105470237339763,4.4923830259147755,10.000721524943856
Language (Orthography),Cognition,17,0.009860788863109048,3.876806494133926,2.998607805155965
Language (Phonology),Cognition,31,0.017260579064587972,7.536487824986687,4.687529623207168
Language (Semantics),Cognition,69,0.00892972693153876,3.416335335349655,5.824649069370026
Language (Speech),Cognition,54,0.00828983727356463,3.099867952987159,4.999359279791356
Language (Syntax),Cognition,9,0.014802631578947368,6.320871668245162,2.445865192919636
Language (Unspecified),Cognition,2,0.0028776978417266188,0.42321022359490296,0.32269331574991433
Memory (Expliicit),Cognition,67,0.010818666236072985,4.350539646511921,6.138109053016692
Memory (Implicit),Cognition,0,0.0,-1.0,-0.5764338861883697
Memory (Working),Cognition,61,0.009300198200945266,3.5995576634628685,5.56190302539543
Memory (Unspecified),Cognition,2,0.0027739251040221915,0.3718878022170008,0.2919138689652094
Music,Cognition,16,0.0053637277908146165,1.6527149993924442,2.1284967059676463
Reasoning,Cognition,89,0.011388355726167627,4.632288444047519,7.186105929193285
Social Cognition,Cognition,30,0.008718395815170008,3.311818244980198,3.8045280489779496
Somatic,Cognition,2,0.004158004158004158,1.0564056245290179,0.5969504168480323
Spatial,Cognition,27,0.015919811320754717,6.873390284716495,4.30394417045209
Temporal,Cognition,7,0.016706443914081145,7.262431668006208,2.2132129658143587
Intensity,Emotion,4,0.019704433497536946,8.745134043334557,1.7248601937450112
Negative (Anger),Emotion,2,0.002758620689655172,0.3643187660668379,0.2872219465882659
Negative (Anxiety),Emotion,10,0.0125,5.18206940874036,2.4729900191685785
Negative (Disgust),Emotion,11,0.010357815442561206,4.12261871910689,2.4525465497464696
Negative (Embarrassment),Emotion,2,0.008403361344537815,3.1560130478926784,0.9676536678324491
Negative (Fear),Emotion,18,0.01157556270096463,4.724874565007149,3.247265823099897
Negative (Guilt),Emotion,0,0.0,-1.0,-0.6022185027107367
Negative (Punishment/Loss),Emotion,3,0.02459016393442623,11.16144801719415,1.545829974826076
Negative (Saddness),Emotion,12,0.009925558312655087,3.908839232746687,2.5250550364482107
Negative (Unspecified),Emotion,28,0.009675190048375951,3.7850157137451297,3.8227335845682004
Positive (Humor),Emotion,0,0.0,-1.0,-0.5325882700254764
Positive (Happiness),Emotion,5,0.003604902667627974,0.782860680242353,0.787091692648471
Positive (Reward/Gain),Emotion,92,0.015246934040437522,6.540608360677668,7.871538170472833
Positive (Unspecified),Emotion,9,0.006118286879673691,2.025893932218259,1.745783570992531
Valence,Emotion,3,0.003367003367003367,0.6652038811421843,0.5476951774231765
Baroregulation,Interoception,0,0.0,-1.0,-0.4910221232932588
Gastrointestinal/Genitourinary,Interoception,4,0.012269938650306749,5.068288990174586,1.5561929567555133
Heartbeat Detection,Interoception,2,0.02666666666666667,12.1884147386461,1.2760891724669885
Hunger,Interoception,0,0.0,-1.0,-0.6600043671623745
Osmoregulation,Interoception,1,0.004366812227074236,1.1596749026167195,0.4447432759994681
Respiration Regulation,Interoception,4,0.007984031936127744,2.948627167259311,1.338633016518245
Sexuality,Interoception,15,0.006720430107526882,2.3236932305055698,2.380747477383973
Sleep,Interoception,1,0.004032258064516129,0.9942159383033418,0.40755300854175586
Thermoregulation,Interoception,13,0.02264808362369338,10.20096199493027,3.1797087787920093
Thirst,Interoception,3,0.012195121951219513,5.031287228039375,1.3454386728437344
Vestibular,Interoception,1,0.00510204081632653,1.5232936362205547,0.511970953327566
Audition,Perception,34,0.009054593874833556,3.478090224174109,4.110676452026531
Gustation,Perception,22,0.020793950850661626,9.283971795258065,4.081577723536272
Olfaction,Perception,8,0.009779951100244499,3.836826921263851,2.051121507706132
Somesthesis (Pain),Perception,70,0.019068373740125308,8.430560797860533,7.174672001954829
Somesthesis (Unspecified),Perception,23,0.008963367108339828,3.4329726079821747,3.3677772221685536
Vision (Color),Perception,4,0.005427408412483039,1.6842092412441179,1.0735585947365858
Vision (Motion),Perception,8,0.002828854314002829,0.39905389731040675,0.6168523803139475
Vision (Shape),Perception,22,0.0068792995622263915,2.402264590176058,2.919899679096252
Vision (Unspecified),Perception,22,0.004326450344149459,1.1397133056800457,2.0661681806840257
