Behavioral Analysis Plugin v3.1

Category,Domain,Raw Counts,Fractional,Standardized,Z-score
Execution (Speech),Action,29,0.010693215339233038,4.288495954379658,4.02343118411073
Execution (Unspecified),Action,26,0.002826701456838443,0.3979891683170197,1.1097471261464835
Imagination,Action,8,0.005598320503848845,1.7687364741734288,1.5523204579182175
Inhibition,Action,32,0.011103400416377515,4.491359363766592,4.276245305498626
Motor Learning,Action,0,0.0,-1.0,-1.0372294515087348
Observation,Action,8,0.005610098176718092,1.774561305465519,1.5546039146937782
Preparation,Action,6,0.011152416356877323,4.5156009594709525,1.8541520184614515
Rest,Action,2,0.014084507042253521,5.965712009848293,1.1398011985171344
Attention,Cognition,143,0.009074755679654779,3.4880615583189307,8.437453491486727
Language (Orthography),Cognition,20,0.01160092807424594,4.737419404863442,3.4251015193708176
Language (Phonology),Cognition,33,0.018374164810690423,8.087228974985829,4.893546712323644
Language (Semantics),Cognition,98,0.012682800569431862,5.272476273395162,7.77170811686547
Language (Speech),Cognition,84,0.01289530242554498,5.3775723713133585,7.226631040165974
Language (Syntax),Cognition,6,0.009868421052631578,3.8805811121634415,1.7819175909205185
Language (Unspecified),Cognition,1,0.0014388489208633094,-0.28839488820254855,-0.26154896607481304
Memory (Expliicit),Cognition,76,0.012271919909575327,5.069268852759791,6.783587905555893
Memory (Implicit),Cognition,0,0.0,-1.0,-0.5764338861883697
Memory (Working),Cognition,48,0.007318188748284799,2.619324063052749,4.451959566240534
Memory (Unspecified),Cognition,4,0.005547850208044383,1.7437756044340016,1.0906713258925043
Music,Cognition,24,0.008045591686221924,2.979072499088666,3.2901145221624586
Reasoning,Cognition,75,0.009596928982725527,3.7463104865568972,6.238310148465964
Social Cognition,Cognition,20,0.005812263876780006,1.8745454966534658,2.518072585621143
Somatic,Cognition,4,0.008316008316008316,3.1128112490580353,1.3624716446419889
Spatial,Cognition,14,0.008254716981132075,3.0824986661492937,2.540954215071017
Temporal,Cognition,3,0.007159904534606206,2.5410421434312327,1.1008856404480396
Intensity,Emotion,5,0.024630541871921183,11.181417554168197,1.9961161135350929
Negative (Anger),Emotion,5,0.006896551724137931,2.4107969151670945,1.3938640300773837
Negative (Anxiety),Emotion,11,0.01375,5.800276349614395,2.657678575327213
Negative (Disgust),Emotion,14,0.013182674199623353,5.519696551590586,2.9670211331493554
Negative (Embarrassment),Emotion,3,0.012605042016806723,5.234019571839018,1.357547711684159
Negative (Fear),Emotion,9,0.005787781350482315,1.8624372825035747,1.6844255121607281
Negative (Guilt),Emotion,0,0.0,-1.0,-0.6022185027107367
Negative (Punishment/Loss),Emotion,3,0.02459016393442623,11.16144801719415,1.545829974826076
Negative (Saddness),Emotion,12,0.009925558312655087,3.908839232746687,2.5250550364482107
Negative (Unspecified),Emotion,22,0.007601935038009675,2.7596552036568878,3.069764676522614
Positive (Humor),Emotion,4,0.02857142857142857,13.130444362835107,1.8205740575209588
Positive (Happiness),Emotion,10,0.007209805335255948,2.565721360484706,2.0169910101167785
Positive (Reward/Gain),Emotion,75,0.012429565793834935,5.147235076639403,6.762257494845328
Positive (Unspecified),Emotion,8,0.005438477226376614,1.689683495305119,1.5205030925183145
Valence,Emotion,7,0.007856341189674524,2.885475722665097,1.7580953096756704
Baroregulation,Interoception,2,0.01680672268907563,7.312026095785357,1.18442444713229
Gastrointestinal/Genitourinary,Interoception,4,0.012269938650306749,5.068288990174586,1.5561929567555133
Heartbeat Detection,Interoception,0,0.0,-1.0,-0.38981469867704666
Hunger,Interoception,1,0.004651162790697674,1.3003048962754826,0.47283985807019363
Osmoregulation,Interoception,2,0.008733624454148471,3.3193498052334385,0.9830104774057017
Respiration Regulation,Interoception,1,0.001996007984031936,-0.012843208185172207,-0.009179120897512995
Sexuality,Interoception,14,0.0062724014336917565,2.102113681805198,2.2106884390257004
Sleep,Interoception,1,0.004032258064516129,0.9942159383033418,0.40755300854175586
Thermoregulation,Interoception,13,0.02264808362369338,10.20096199493027,3.1797087787920093
Thirst,Interoception,4,0.016260162601626018,7.041716304052501,1.6638771506509538
Vestibular,Interoception,0,0.0,-1.0,-0.630166939402744
Audition,Perception,31,0.00825565912117177,3.082964616158746,3.7812449571570372
Gustation,Perception,10,0.00945179584120983,3.6745326342082114,2.265391747561769
Olfaction,Perception,7,0.008557457212713936,3.232223556105869,1.8239619997924943
Somesthesis (Pain),Perception,37,0.010078997548351948,3.984724993154853,4.457189843141332
Somesthesis (Unspecified),Perception,20,0.00779423226812159,2.854758789549718,2.961018036594129
Vision (Color),Perception,3,0.004070556309362279,1.0131569309330883,0.7137155905844493
Vision (Motion),Perception,13,0.004596888260254597,1.2734625831294109,1.686317094937584
Vision (Shape),Perception,15,0.004690431519699813,1.3197258569382215,1.8454637752275351
Vision (Unspecified),Perception,26,0.005113077679449361,1.5287520885309633,2.615062456686649
