Behavioral Analysis Plugin v3.1

Category,Domain,Raw Counts,Fractional,Standardized,Z-score
Execution (Speech),Action,19,0.007005899705014749,2.464876659765983,2.739719318623612
Execution (Unspecified),Action,45,0.004892367906066536,1.4195966374717648,3.317371981763381
Imagination,Action,11,0.007697690692792162,2.807012651988465,2.1833868714918356
Inhibition,Action,18,0.006245662734212352,2.0888896421187084,2.5002460005769085
Motor Learning,Action,2,0.003766478342749529,0.862770443311596,0.5292050327337872
Observation,Action,26,0.0182328190743338,8.017324242762937,4.337500337006806
Preparation,Action,5,0.00929368029739777,3.5963341328924607,1.5919533651702418
Rest,Action,0,0.0,-1.0,-0.5363789817068286
Attention,Cognition,110,0.0069805812920421375,2.4523550448607163,6.57968035817499
Language (Orthography),Cognition,30,0.01740139211136891,7.606129107295164,4.618538712451879
Language (Phonology),Cognition,56,0.031180400890868598,14.420752199975952,6.883566806996701
Language (Semantics),Cognition,150,0.01941244985117122,8.600728989890555,10.535490402516908
Language (Speech),Cognition,104,0.01596561252686521,6.896041983530823,8.452062297397699
Language (Syntax),Cognition,16,0.02631578947368421,12.014882965769177,3.603042311015472
Language (Unspecified),Cognition,7,0.010071942446043165,3.9812357825821594,1.938233368210644
Memory (Expliicit),Cognition,60,0.009688357823348943,3.791528041652467,5.598611027181211
Memory (Implicit),Cognition,2,0.012195121951219513,5.031287228039375,1.0985460762248465
Memory (Working),Cognition,82,0.012501905778319866,5.183011941048446,7.081855748308187
Memory (Unspecified),Cognition,4,0.005547850208044383,1.7437756044340016,1.0906713258925043
Music,Cognition,33,0.011062688568555145,4.471224686246915,4.337675132812198
Reasoning,Cognition,67,0.008573256557901471,3.2400373679908285,5.647177144354014
Social Cognition,Cognition,17,0.004940424295263005,1.4433636721554457,2.055915717469462
Somatic,Cognition,4,0.008316008316008316,3.1128112490580353,1.3624716446419889
Spatial,Cognition,11,0.006485849056603774,2.207677523403017,1.9984653673536166
Temporal,Cognition,5,0.011933174224343675,4.90173690571872,1.7264632884757511
Intensity,Emotion,1,0.0049261083743842365,1.4362835108336394,0.4974160018172762
Negative (Anger),Emotion,2,0.002758620689655172,0.3643187660668379,0.2872219465882659
Negative (Anxiety),Emotion,2,0.0025,0.23641388174807193,0.20129221000709763
Negative (Disgust),Emotion,8,0.007532956685499058,2.7255408866231923,1.843164963262789
Negative (Embarrassment),Emotion,1,0.004201680672268907,1.0780065239463392,0.4269953106936792
Negative (Fear),Emotion,7,0.0045016077170418,1.2263401086138914,1.2128895712676813
Negative (Guilt),Emotion,1,0.00558659217877095,1.7629360485990435,0.5480213491989471
Negative (Punishment/Loss),Emotion,2,0.01639344262295082,7.1076320114627665,1.1785048983368138
Negative (Saddness),Emotion,5,0.0041356492969396195,1.0453496803111197,0.9381944185770433
Negative (Unspecified),Emotion,16,0.0055286800276434,1.7342946935686454,2.175979761936425
Positive (Humor),Emotion,0,0.0,-1.0,-0.5325882700254764
Positive (Happiness),Emotion,1,7.209805335255948E-4,-0.6434278639515294,-0.9259122578685242
Positive (Reward/Gain),Emotion,21,0.0034802784222737818,0.7212258214590328,1.5293961881902156
Positive (Unspecified),Emotion,9,0.006118286879673691,2.025893932218259,1.745783570992531
Valence,Emotion,12,0.013468013468013467,5.660815524568737,2.7617490556176514
Baroregulation,Interoception,0,0.0,-1.0,-0.4910221232932588
Gastrointestinal/Genitourinary,Interoception,3,0.009202453987730062,3.5512167426309396,1.228582122314104
Heartbeat Detection,Interoception,0,0.0,-1.0,-0.38981469867704666
Hunger,Interoception,2,0.009302325581395349,3.600609792550965,1.0071876433475646
Osmoregulation,Interoception,1,0.004366812227074236,1.1596749026167195,0.4447432759994681
Respiration Regulation,Interoception,2,0.003992015968063872,0.9743135836296556,0.5695561493514455
Sexuality,Interoception,14,0.0062724014336917565,2.102113681805198,2.2106884390257004
Sleep,Interoception,2,0.008064516129032258,2.988431876606683,0.9507547926990394
Thermoregulation,Interoception,0,0.0,-1.0,-1.0784090541217612
Thirst,Interoception,1,0.0040650406504065045,1.0104290760131254,0.4114185292376075
Vestibular,Interoception,1,0.00510204081632653,1.5232936362205547,0.511970953327566
Audition,Perception,35,0.009320905459387484,3.6097987601792294,4.216488185208692
Gustation,Perception,5,0.004725897920604915,1.3372663171041057,1.0727667958385823
Olfaction,Perception,0,0.0,-1.0,-1.2873725098366078
Somesthesis (Pain),Perception,7,0.0019068373740125306,-0.05694392021394682,-0.11140695575035836
Somesthesis (Unspecified),Perception,14,0.005455962587685113,1.6983311526848024,2.0161425041762016
Vision (Color),Perception,3,0.004070556309362279,1.0131569309330883,0.7137155905844493
Vision (Motion),Perception,6,0.0021216407355021216,0.049290422982805,0.08242124597463556
Vision (Shape),Perception,21,0.006566604127579738,2.24761619971351,2.780825252231877
Vision (Unspecified),Perception,27,0.005309734513274336,1.6260117842436925,2.7441057548780274
